iter	Passed	Remaining
493	660177	676213
494	661517	674881
495	662848	673539
496	664204	672222
497	665522	670868
498	666848	669521
499	668160	668160
500	669468	666795
501	670811	665466
502	672136	664118
503	673480	662790
504	674837	661474
505	676171	660135
506	677506	658798
507	678851	657469
508	680191	656137
509	681511	654785
510	682856	653457
511	684185	652114
512	685518	650774
513	686863	649446
514	688199	648110
515	689548	646786
516	690896	645460
517	692244	644134
518	693575	642793
519	694918	641463
520	696279	640149
521	697639	638834
522	698968	637491
523	700328	636176
524	701670	634844
525	703020	633520
526	704348	632175
527	705692	630846
528	707030	629510
529	708378	628184
530	709721	626853
531	711047	625507
532	712383	624170
533	713719	622834
534	715051	621493
535	716401	620168
536	717736	618830
537	719075	617495
538	720397	616146
539	721726	614804
540	723074	613477
541	724441	612166
542	725772	610824
543	727121	609499
544	728459	608163
545	729771	606806
546	731107	605469
547	732432	604123
548	733773	602789
549	735109	601453
550	736429	600102
551	737769	598769
552	739079	597411
553	740397	596060
554	741750	594736
555	743090	593402
556	744436	592074
557	745783	590745
558	747126	589414
559	748453	588070
560	749799	586741
561	751151	585416
562	752490	584082
563	753816	582737
564	755147	581396
565	756487	580063
566	757834	578734
567	759176	577402
568	760530	576078
569	761873	574747
570	763212	573411
571	764560	572083
572	765888	570740
573	767250	569422
574	768600	568096
575	769933	566756
576	771260	565412
577	772601	564079
578	773926	562734
579	775284	561413
580	776617	560073
581	777949	558733
582	779283	557394
583	780622	556059
584	781986	554742
585	783328	553409
586	784691	552091
587	786044	550765
588	787384	549431
589	788723	548096
590	790058	546758
591	791385	545414
592	792715	544073
593	794063	542743
594	795410	541413
595	796738	540071
596	798091	538744
597	799440	537416
598	800774	536077
599	802116	534744
600	803456	533409
601	804772	532058
602	806099	530715
603	807455	529391
604	808799	528059
605	810140	526724
606	811481	525390
607	812829	524061
608	814164	522722
609	815478	521371
610	816819	520037
611	818165	518706
612	819506	517372
613	820853	516041
614	822201	514711
615	823521	513364
616	824875	512037
617	826235	510715
618	827555	509368
619	828893	508031
620	830216	506685
621	831538	505340
622	832877	504004
623	834203	502660
624	835551	501330
625	836915	500010
626	838257	498676
627	839591	497337
628	840942	496008
629	842280	494672
630	843653	493356
631	844970	492008
632	846302	490668
633	847659	489342
634	849006	488011
635	850359	486683
636	851721	485361
637	853074	484032
638	854430	482706
639	855766	481368
640	857115	480037
641	858471	478711
642	859831	477386
643	861192	476062
644	862564	474744
645	863904	473409
646	865253	472077
647	866600	470746
648	867927	469402
649	869255	468060
650	870581	466717
651	871910	465375
652	873246	464037
653	874597	462707
654	875945	461375
655	877265	460029
656	878553	458666
657	879893	457330
658	881235	455995
659	882594	454669
660	883947	453340
661	885300	452011
662	886644	450677
663	887996	449347
664	889333	448010
665	890679	446677
666	892029	445346
667	893360	444005
668	894712	442675
669	896064	441345
670	897412	440013
671	898747	438674
672	900087	437337
673	901435	436006
674	902772	434668
675	904120	433335
676	905477	432007
677	906846	430685
678	908196	429353
679	909562	428029
680	910901	426692
681	912242	425356
682	913590	424023
683	914925	422684
684	916273	421351
685	917615	420016
686	918950	418677
687	920299	417345
688	921624	416001
689	922978	414671
690	924311	413331
691	925670	412003
692	927020	410671
693	928356	409332
694	929701	407998
695	931056	406668
696	932398	405332
697	933740	403996
698	935082	402660
699	936421	401323
700	937769	399990
701	939123	398659
702	940456	397319
703	941804	395986
704	943147	394650
705	944490	393314
706	945829	391977
707	947181	390645
708	948513	389305
709	949848	387966
710	951195	386632
711	952543	385298
712	953864	383953
713	955221	382623
714	956547	381281
715	957871	379937
716	959191	378593
717	960520	377251
718	961891	375927
719	963242	374594
720	964579	373255
721	965893	371908
722	967214	370564
723	968541	369223
724	969878	367884
725	971228	366551
726	972552	365208
727	973887	363870
728	975220	362530
729	976574	361198
730	977916	359862
731	979252	358524
732	980580	357182
733	981927	355848
734	983271	354512
735	984617	353177
736	985946	351837
737	987297	350503
738	988610	349157
739	989948	347819
740	991299	346486
741	992637	345148
742	993972	343810
743	995327	342478
744	996692	341149
745	998048	339818
746	999361	338471
747	1000699	337134
748	1002051	335800
749	1003380	334460
750	1004711	333120
751	1006046	331781
752	1007385	330443
753	1008732	329109
754	1010070	327771
755	1011404	326432
756	1012736	325092
757	1014080	323756
758	1015438	322425
759	1016779	321088
760	1018113	319749
761	1019438	318407
762	1020779	317070
763	1022104	315728
764	1023437	314389
765	1024799	313058
766	1026152	311725
767	1027486	310386
768	1028825	309048
769	1030155	307708
770	1031498	306372
771	1032851	305039
772	1034169	303695
773	1035516	302360
774	1036858	301023
775	1038206	299688
776	1039535	298347
777	1040876	297011
778	1042213	295672
779	1043569	294340
780	1044916	293004
781	1046261	291668
782	1047639	290342
783	1049002	289010
784	1050372	287681
785	1051732	286349
786	1053100	285019
787	1054447	283683
788	1055796	282348
789	1057131	281009
790	1058469	279671
791	1059811	278334
792	1061152	276996
793	1062513	275664
794	1063839	274323
795	1065185	272987
796	1066510	271645
797	1067849	270307
798	1069185	268968
799	1070539	267634
800	1071871	266295
801	1073220	264959
802	1074571	263624
803	1075924	262290
804	1077270	260953
805	1078611	259616
806	1079929	258273
807	1081287	256939
808	1082646	255606
809	1084012	254274
810	1085366	252940
811	1086733	251608
812	1088076	250270
813	1089411	248931
814	1090758	247595
815	1092134	246265
816	1093487	244930
817	1094827	243592
818	1096193	242260
819	1097525	240920
820	1098868	239582
821	1100210	238245
822	1101527	236902
823	1102864	235563
824	1104217	234227
825	1105583	232895
826	1106920	231556
827	1108263	230218
828	1109605	228881
829	1110958	227545
830	1112304	226208
831	1113647	224871
832	1114997	223534
833	1116314	222192
834	1117682	220859
835	1119031	219523
836	1120353	218181
837	1121694	216843
838	1123065	215510
839	1124419	214175
840	1125770	212838
841	1127106	211499
842	1128436	210159
843	1129782	208822
844	1131121	207483
845	1132452	206143
846	1133796	204806
847	1135149	203470
848	1136436	202122
849	1137614	200755
850	1138858	199400
851	1140092	198044
852	1141448	196709
853	1142700	195356
854	1143956	194004
855	1145238	192656
856	1146532	191311
857	1147854	189971
858	1149114	188620
859	1150412	187276
860	1151767	185941
861	1153023	184590
862	1154244	183234
863	1155505	181885
864	1156756	180534
865	1157993	179181
866	1159235	177829
867	1160407	176467
868	1161652	175116
869	1162936	173772
870	1164143	172416
871	1165360	171062
872	1166917	169757
873	1168080	168396
874	1169252	167036
875	1170454	165680
876	1171662	164326
877	1172914	162979
878	1174171	161632
879	1175460	160290
880	1176740	158946
881	1178116	157616
882	1179475	156283
883	1180768	154942
884	1182008	153594
885	1183315	152255
886	1184530	150904
887	1185820	149562
888	1187082	148218
889	1188279	146866
890	1189545	145522
891	1190799	144177
892	1192069	142834
893	1193263	141483
894	1194523	140139
895	1195771	138794
896	1197062	137455
897	1198286	136108
898	1199549	134765
899	1200777	133419
900	1202092	132083
901	1203355	130741
902	1204609	129398
903	1205837	128053
904	1207116	126713
905	1208368	125371
906	1209615	124028
907	1210832	122683
908	1212141	121347
909	1213420	120008
910	1214639	118664
911	1215895	117323
912	1217162	115983
913	1218441	114645
914	1219707	113306
915	1220957	111965
916	1222185	110623
917	1223455	109284
918	1224660	107940
919	1225902	106600
920	1227202	105264
921	1228486	103928
922	1229757	102590
923	1231055	101255
924	1232356	99920
925	1233593	98580
926	1234843	97242
927	1236072	95902
928	1237309	94562
929	1238545	93223
930	1239799	91886
931	1241027	90547
932	1242283	89210
933	1243531	87872
934	1244943	86546
935	1246381	85222
936	1247601	83883
937	1248833	82545
938	1250242	81219
939	1251670	79893
940	1252905	78556
941	1254168	77220
942	1255425	75884
943	1256768	74554
944	1258254	73231
945	1259533	71897
946	1260747	70559
947	1261980	69222
948	1263211	67885
949	1264461	66550
950	1265796	65219
951	1266998	63882
952	1268188	62544
953	1269638	61219
954	1270854	59883
955	1272123	58549
956	1273429	57217
957	1274684	55883
958	1275925	54549
959	1277167	53215
960	1278433	51882
961	1279712	50549
962	1281002	49218
963	1282249	47884
964	1283488	46551
965	1284775	45219
966	1286134	43890
967	1287408	42558
968	1288678	41227
969	1289937	39894
970	1291229	38564
971	1292503	37232
972	1293799	35901
973	1295071	34570
974	1296335	33239
975	1297602	31908
976	1298954	30579
977	1300251	29249
978	1301543	27918
979	1302831	26588
980	1304119	25258
981	1305413	23928
982	1306724	22598
983	1308035	21268
984	1309279	19938
985	1310549	18608
986	1311858	17278
987	1313169	15949
988	1314481	14620
989	1315786	13290
990	1317085	11961
991	1318384	10632
992	1319674	9302
993	1320979	7973
994	1322289	6644
995	1323579	5315
996	1324885	3986
997	1326237	2657
998	1327544	1328
999	1328846	0
